age, workclass, native-country, sex, race, marital-status 
[48 - 70], Private, America, Male, White, *
[48 - 70], Private, America, Male, White, *
[48 - 70], Private, America, Male, White, *
[48 - 70], Private, America, Male, White, *
[48 - 70], Private, America, Male, White, *
[48 - 70], Private, America, Male, White, *
[48 - 70], Private, America, Male, White, *
[19 - 36], Private, United-States, Female, White, *
[19 - 36], Private, United-States, Female, White, *
[19 - 36], Private, United-States, Female, White, *
[19 - 36], Private, United-States, Female, White, *
[19 - 36], Private, United-States, Female, White, *
[19 - 36], Private, United-States, Female, White, *
[19 - 36], Private, United-States, Female, White, *
[19 - 36], Private, United-States, Female, White, *
[19 - 36], Private, United-States, Female, White, *
[19 - 36], Private, United-States, Female, White, *
[31 - 35], Private, United-States, Male, White, Married-civ-spouse
[31 - 35], Private, United-States, Male, White, Married-civ-spouse
[31 - 35], Private, United-States, Male, White, Married-civ-spouse
[31 - 35], Private, United-States, Male, White, Married-civ-spouse
[31 - 35], Private, United-States, Male, White, Married-civ-spouse
[31 - 35], Private, United-States, Male, White, Married-civ-spouse
[31 - 35], Private, United-States, Male, White, Married-civ-spouse
[31 - 35], Private, United-States, Male, White, Married-civ-spouse
[31 - 35], Private, United-States, Male, White, Married-civ-spouse
[31 - 35], Private, United-States, Male, White, Married-civ-spouse
[24 - 40], Self, United-States, Male, White, Married-civ-spouse
[24 - 40], Self, United-States, Male, White, Married-civ-spouse
[24 - 40], Self, United-States, Male, White, Married-civ-spouse
[24 - 40], Self, United-States, Male, White, Married-civ-spouse
[24 - 40], Self, United-States, Male, White, Married-civ-spouse
[24 - 40], Self, United-States, Male, White, Married-civ-spouse
[24 - 40], Self, United-States, Male, White, Married-civ-spouse
[24 - 40], Self, United-States, Male, White, Married-civ-spouse
[24 - 40], Self, United-States, Male, White, Married-civ-spouse
[24 - 40], Self, United-States, Male, White, Married-civ-spouse
[57 - 76], *, North-America, Male, *, Married-civ-spouse
[57 - 76], *, North-America, Male, *, Married-civ-spouse
[57 - 76], *, North-America, Male, *, Married-civ-spouse
[57 - 76], *, North-America, Male, *, Married-civ-spouse
[57 - 76], *, North-America, Male, *, Married-civ-spouse
[57 - 76], *, North-America, Male, *, Married-civ-spouse
[57 - 76], *, North-America, Male, *, Married-civ-spouse
[57 - 76], *, North-America, Male, *, Married-civ-spouse
[57 - 76], *, North-America, Male, *, Married-civ-spouse
[57 - 76], *, North-America, Male, *, Married-civ-spouse
50, *, America, Male, White, *
50, *, America, Male, White, *
50, *, America, Male, White, *
50, *, America, Male, White, *
50, *, America, Male, White, *
50, *, America, Male, White, *
50, *, America, Male, White, *
50, *, America, Male, White, *
50, *, America, Male, White, *
50, *, America, Male, White, *
46, *, *, *, White, *
46, *, *, *, White, *
46, *, *, *, White, *
46, *, *, *, White, *
46, *, *, *, White, *
46, *, *, *, White, *
46, *, *, *, White, *
46, *, *, *, White, *
46, *, *, *, White, *
46, *, *, *, White, *
[29 - 42], Private, *, *, *, *
[29 - 42], Private, *, *, *, *
[29 - 42], Private, *, *, *, *
[29 - 42], Private, *, *, *, *
[29 - 42], Private, *, *, *, *
[29 - 42], Private, *, *, *, *
[29 - 42], Private, *, *, *, *
[29 - 42], Private, *, *, *, *
[29 - 42], Private, *, *, *, *
[29 - 42], Private, *, *, *, *
[79 - 90], *, *, *, *, *
[79 - 90], *, *, *, *, *
[79 - 90], *, *, *, *, *
[79 - 90], *, *, *, *, *
[79 - 90], *, *, *, *, *
[79 - 90], *, *, *, *, *
[79 - 90], *, *, *, *, *
[79 - 90], *, *, *, *, *
[79 - 90], *, *, *, *, *
[79 - 90], *, *, *, *, *
43, *, America, Female, *, *
43, *, America, Female, *, *
43, *, America, Female, *, *
43, *, America, Female, *, *
43, *, America, Female, *, *
43, *, America, Female, *, *
43, *, America, Female, *, *
43, *, America, Female, *, *
43, *, America, Female, *, *
43, *, America, Female, *, *
[28 - 34], Private, *, Female, *, *
[28 - 34], Private, *, Female, *, *
[28 - 34], Private, *, Female, *, *
[28 - 34], Private, *, Female, *, *
[28 - 34], Private, *, Female, *, *
[28 - 34], Private, *, Female, *, *
[28 - 34], Private, *, Female, *, *
[28 - 34], Private, *, Female, *, *
[28 - 34], Private, *, Female, *, *
[28 - 34], Private, *, Female, *, *
